Construct,Item,Loading
UE,UE1,0.8397904462031378
UE,UE2,0.811747074786747
UE,UE3,0.8522822488537158
UE,UE4,0.8388392958841121
UE,UE5,0.8172560506897757
UX,UX1,0.8429998090116708
UX,UX2,0.8222128170904489
UX,UX3,0.8352397073153806
UX,UX4,0.8402244378574657
UX,UX5,0.8384114756664841
BSAT,BSAT1,0.8547221671473244
BSAT,BSAT2,0.8715252394457643
BSAT,BSAT3,0.8792702601282415
BSAT,BSAT4,0.8429903104673341
BSUC,BSUC1,0.8743637454049464
BSUC,BSUC2,0.8402465743210705
BSUC,BSUC3,0.8718505612219574
BSUC,BSUC4,0.8712655306430235
