Construct,Item,VIF
UE,UE1,2.3042678917697748
UE,UE2,2.0005199454195175
UE,UE3,2.270885541207004
UE,UE4,2.2344833683844896
UE,UE5,1.9884259067563037
UX,UX1,2.35339713435967
UX,UX2,2.161603130794953
UX,UX3,2.081651758913759
UX,UX4,2.234885380405336
UX,UX5,2.1840200695991716
BSAT,BSAT1,2.2501164480259477
BSAT,BSAT2,2.4047590726654646
BSAT,BSAT3,2.434714797665391
BSAT,BSAT4,2.0904862255985037
BSUC,BSUC1,2.4266397507007724
BSUC,BSUC2,2.0815346251193834
BSUC,BSUC3,2.464400109568912
BSUC,BSUC4,2.400012254968856
