Indicator,Mean,SD,Median,Min,Max,Skewness,Kurtosis,ShapiroW,Shapiro_p
UE1,3.9808,1.9061,4.0,1.0,7.0,-0.0087,-1.1206,0.9301,0.0
UE2,4.0096,1.9618,4.0,1.0,7.0,-0.0237,-1.1554,0.9239,0.0
UE3,3.9712,1.8486,4.0,1.0,7.0,0.0087,-1.0199,0.9364,0.0
UE4,3.9423,1.8883,4.0,1.0,7.0,0.0488,-1.0375,0.9321,0.0
UE5,4.0481,2.013,4.0,1.0,7.0,-0.028,-1.2209,0.917,0.0
UX1,3.9103,1.8768,4.0,1.0,7.0,0.0103,-1.0573,0.9329,0.0
UX2,3.9808,1.9128,4.0,1.0,7.0,0.0523,-1.0963,0.9288,0.0
UX3,4.0449,1.8664,4.0,1.0,7.0,0.0238,-1.078,0.9337,0.0
UX4,3.9647,1.8897,4.0,1.0,7.0,-0.0294,-1.0842,0.931,0.0
UX5,3.8878,1.8679,4.0,1.0,7.0,0.0181,-1.1356,0.9307,0.0
BSAT1,4.0128,1.8721,4.0,1.0,7.0,-0.0451,-1.0582,0.9337,0.0
BSAT2,3.9968,1.9684,4.0,1.0,7.0,0.0551,-1.1936,0.922,0.0
BSAT3,4.1538,1.9184,4.0,1.0,7.0,-0.1347,-1.1237,0.9268,0.0
BSAT4,4.0288,1.8416,4.0,1.0,7.0,0.0287,-1.0146,0.9368,0.0
BSUC1,4.0673,1.8855,4.0,1.0,7.0,-0.0367,-1.0566,0.9329,0.0
BSUC2,4.1474,1.8403,4.0,1.0,7.0,-0.0718,-1.0265,0.9363,0.0
BSUC3,4.141,1.8303,4.0,1.0,7.0,-0.0292,-1.011,0.9365,0.0
BSUC4,4.1442,1.8379,4.0,1.0,7.0,-0.1102,-1.0378,0.9348,0.0
ATT_1,3.8462,1.845,4.0,1.0,7.0,0.045,-1.1298,0.9318,0.0
ATT_2,3.9167,1.8685,4.0,1.0,7.0,0.0561,-1.0755,0.9339,0.0
