Construct,Indicator,Loading,SE,t,p,CI2.5,CI97.5
UE,UE1,0.8789,0.0143,61.2531,0.0,0.8478,0.9045
UE,UE2,0.9029,0.0113,79.642,0.0,0.8795,0.9237
UE,UE3,0.8787,0.0137,64.2665,0.0,0.8499,0.9025
UE,UE4,0.8852,0.0133,66.6445,0.0,0.8574,0.9092
UE,UE5,0.9018,0.0104,86.6959,0.0,0.8802,0.9207
UX,UX1,0.8769,0.0132,66.4318,0.0,0.8493,0.9007
UX,UX2,0.8727,0.0139,62.8881,0.0,0.8435,0.8979
UX,UX3,0.8847,0.0116,76.0384,0.0,0.8602,0.9061
UX,UX4,0.8624,0.015,57.4088,0.0,0.8301,0.8896
UX,UX5,0.8889,0.0112,79.597,0.0,0.865,0.9092
BSAT,BSAT1,0.8874,0.0113,78.7379,0.0,0.8641,0.9078
BSAT,BSAT2,0.8964,0.01,89.6078,0.0,0.8756,0.915
BSAT,BSAT3,0.893,0.0111,80.5462,0.0,0.8694,0.9136
BSAT,BSAT4,0.8839,0.0123,71.898,0.0,0.8585,0.9061
BSUC,BSUC1,0.8848,0.0118,75.198,0.0,0.8598,0.9063
BSUC,BSUC2,0.8777,0.0134,65.3599,0.0,0.8489,0.9014
BSUC,BSUC3,0.8772,0.0121,72.4346,0.0,0.8526,0.8994
BSUC,BSUC4,0.8774,0.0124,70.5179,0.0,0.8514,0.9003
